SPEC_ID,NAME,RA,DEC,Z,Z_HELIO,Quality
67936,g1350232-473150,207.5964583,-47.53047222,0.071666,0.071659,4
67937,g1346475-474308,206.6977083,-47.71883333,0.071049,0.071041,4
67938,g1337354-480451,204.3974167,-48.08075,0.057256,0.057249,4
67939,g1336094-475537,204.039125,-47.92680556,0.049043,0.049035,3
67940,g1343021-481010,205.7587917,-48.16941667,0.010028,0.010021,4
67941,g1338079-474618,204.5329167,-47.77166667,0.045666,0.045659,4
67942,g1332251-483623,203.1045833,-48.60636111,0.024652,0.024645,4
67943,g1342541-482430,205.7255833,-48.40825,0.098679,0.098671,4
67944,g1337153-481801,204.3137083,-48.30019444,0.045967,0.045959,4
67945,g1342389-484216,205.6622083,-48.7045,0.118779,0.118771,4
67946,g1349466-484509,207.4441667,-48.75261111,0.00981,0.009803,4
67947,g1350521-485624,207.7170833,-48.94011111,0.097281,0.097274,4
67948,g1350569-490320,207.73725,-49.05541667,0.010411,0.010403,4
67949,g1344247-484917,206.103,-48.82144444,0.097706,0.097698,4
67950,g1347363-492003,206.90125,-49.33405556,0.087481,0.087473,4
67951,g1347439-492618,206.9327917,-49.43819444,0.097501,0.097493,4
67952,g1344174-491347,206.072375,-49.22977778,0.053526,0.053519,4
67953,g1345411-491242,206.4214167,-49.21169444,0.087047,0.087039,4
67954,g1342023-492329,205.509625,-49.39147222,0.097926,0.097918,4
67955,g1344507-495133,206.2110833,-49.85916667,0.09399,0.093983,4
67956,g1346268-500915,206.61175,-50.15408333,0.092801,0.092793,4
67957,g1338595-493510,204.748,-49.58611111,0.139769,0.139761,4
67958,g1345043-500442,206.2680833,-50.07827778,0.02656,0.026553,4
67959,g1343509-501217,205.9620833,-50.20483333,0.0589,0.058893,4
67960,g1344446-503013,206.1857083,-50.50361111,0.027247,0.02724,3
67961,g1342209-503123,205.5870833,-50.52305556,0.069597,0.069589,4
67962,g1338165-495656,204.56875,-49.94877778,0.097165,0.097158,4
67963,g1336498-495900,204.2074583,-49.98344444,0.012238,0.012231,4
67965,g1332547-492419,203.228,-49.40527778,0.053937,0.053929,4
67966,g1336125-495410,204.0520833,-49.90283333,0.047954,0.047947,4
67967,g1333439-293849,203.4328333,-29.64686111,0.055467,0.055376,4
67968,g1334252-302402,203.604875,-30.40044444,0.049999,0.049908,4
